5381977012111141  2
5381997612221128 62
5382021712221128  2
5382052612221127 41    1
5383073212221127 51
5382274412121129 41
5382364412211129 62
5382544212321130  2
5382596312411135 51
5382635412521129 51
5382655412321129 51   1
5382745212221135 01
5382726212221129 52
5382797311911131 51
5383012112211130  2
5384094512011136 52
5383132612421130 31
5383264612211138 41
5383354812421131 62
5383365112221130 41 1
5385455312111130 41
5383625412411130  1
5383737411911135 72
5383847012411131 51
5386916632511130 61
5383926911721135 52 1
5383947512011135  2
5387095212511129 41
5384103012321129 42
5384195712511129 41
5384203512241136 41
5384213812321129 61
5386255012811129 41
5386275612611129 31
5386334412421131 31
5386404542431129 41
5386497212221128 41
5386556642231129  2
5386587412311129 52
5386647742041130  1
5386747212511136 51
5386816712411129 52
5386827113021139 41
5386979112621129 52
5386027812911129 42
5386114012911130 52
5385174611611130 72
5385274242031134 31
5385655713011143 62
5385377112221135 52
